case,kind,bodies,referenceUTC,baselineErrorSeconds,productionErrorSeconds,bracketSeconds,residual,residualUnit
A01/0,aspect,moon+mercury,2031-01-21T21:12:55.936890Z,-5.67962646484375,1.32904052734375,0.0006103515625,1.4867850950395223e-08,degrees
A01/1,signIngress,moon,2031-01-22T23:46:57.883301Z,-7.24761962890625,1.70684814453125,0.0006103515625,5.266554126137635e-08,degrees
A02/0,aspect,moon+jupiter,2032-01-20T17:52:37.443237Z,-5.73333740234375,2.97515869140625,0.0006103515625,4.1522810079186456e-08,degrees
A02/1,signIngress,moon,2032-01-21T22:48:37.968750Z,-7.05169677734375,2.39898681640625,0.0006103515625,-2.647482943984869e-08,degrees
A03/0,aspect,mercury+venus,2033-05-20T08:10:32.785034Z,105.49835205078125,2.00164794921875,0.0006103515625,2.877428073588817e-09,degrees
A04/0,aspect,moon+sun,2034-01-04T19:47:07.743530Z,-4.89654541015625,4.13421630859375,0.0006103515625,-2.767205842246767e-08,degrees
A04/1,signIngress,moon,2034-01-05T22:48:12.095947Z,-7.22442626953125,3.79608154296875,0.0006103515625,3.3572007396287518e-09,degrees
A05/0,aspect,moon+saturn,2035-01-03T06:50:43.185425Z,-18.95904541015625,4.36737060546875,0.0006103515625,7.0375847371906275e-09,degrees
A05/1,signIngress,moon,2035-01-05T12:38:23.173828Z,-9.46258544921875,2.19329833984375,0.0006103515625,3.863871711473621e-08,degrees
A06/0,signIngress,moon,2036-03-27T06:22:06.599121Z,-9.49859619140625,3.34014892578125,0.0006103515625,-1.2241400781931588e-08,degrees
A06/1,aspect,moon+sun,2036-03-27T20:56:45.459595Z,-8.10028076171875,3.51348876953125,0.0006103515625,-2.5500579425852266e-09,degrees
A06/2,signIngress,moon,2036-03-29T13:43:43.315430Z,-10.47332763671875,2.37945556640625,0.0006103515625,2.5241540413389885e-08,degrees
A07/0,station,mercury,2037-04-05T00:05:35.275269Z,-137.27142333984375,-1.86431884765625,0.0006103515625,-1.0302869668521453e-08,degrees/day
A07/1,station,mercury,2037-04-28T15:55:55.801392Z,-4.12933349609375,-1.93145751953125,0.0006103515625,-5.8569022647653975e-09,degrees/day
A08/0,station,venus,2039-07-18T08:36:05.872192Z,53.86688232421875,-5.67108154296875,0.0006103515625,2.3955440805626236e-09,degrees/day
A08/1,station,venus,2039-08-30T10:14:26.024780Z,-185.26397705078125,-0.48370361328125,0.0006103515625,-1.4819891345853519e-09,degrees/day
A09/0,station,mars,2039-11-23T20:47:23.179321Z,-126.53778076171875,13.65936279296875,0.0006103515625,-3.91813565719141e-09,degrees/day
A09/1,station,mars,2040-02-09T11:48:23.823853Z,-74.32830810546875,-9.47784423828125,0.0006103515625,-1.6037964607156547e-09,degrees/day
A10/0,station,jupiter,2040-01-16T13:17:45.261841Z,27.63946533203125,-0.16571044921875,0.0006103515625,4.872293045212115e-10,degrees/day
A10/1,station,jupiter,2040-05-18T03:57:22.153931Z,224.09515380859375,10.90301513671875,0.0006103515625,-1.624097681737372e-10,degrees/day
A11/0,station,saturn,2041-02-01T16:02:08.237915Z,-203.24249267578125,-59.47784423828125,0.0006103515625,2.4361465226060576e-10,degrees/day
A11/1,station,saturn,2041-06-20T01:09:59.716187Z,-155.87799072265625,52.01080322265625,0.0006103515625,1.2180732613030288e-10,degrees/day
A12/0,station,mercury,2042-01-10T02:47:49.381714Z,66.40594482421875,-0.92803955078125,0.0006103515625,3.816629552082824e-09,degrees/day
A12/1,station,mercury,2042-01-30T15:31:42.310181Z,-201.86309814453125,-0.64605712890625,0.0006103515625,3.410605131648481e-09,degrees/day
A13/0,ascendantIngress,,2043-06-15T05:22:26.043768Z,0.00091552734375,18.25286865234375,0.0006103515625,7.416860420071831e-07,degrees
A14/0,midheavenIngress,,2044-06-15T06:23:45.584543Z,-0.00701904296875,19.06585693359375,0.0006103515625,-2.2381948383554118e-07,degrees
A15/0,houseCrossing,,2045-06-15T19:21:28.472378Z,1.28448486328125,21.18133544921875,0.0006103515625,-8.013616792368339e-07,degrees
A16/0,angularBandCrossing,,2046-06-15T04:19:07.147536Z,0.69427490234375,20.85845947265625,0.0006103515625,3.856103489852103e-07,degrees
A17/0,midheavenIngress,,2047-06-15T05:10:28.797689Z,0.01739501953125,21.59271240234375,0.0006103515625,7.900318782454333e-07,degrees
A18/0,houseCrossing,,2048-06-15T06:46:13.709517Z,-5.06134033203125,17.36968994140625,0.0006103515625,-2.3975434260137263e-07,degrees
A19/0,solarBandCrossing,mercury+sun,2049-01-11T21:56:43.262329Z,71.00494384765625,8.65447998046875,0.0006103515625,5.979669981392988e-09,degrees
A20/0,solarBandCrossing,venus+sun,2050-02-03T11:28:45.540161Z,-90.43426513671875,-21.48773193359375,0.0006103515625,2.08444816962583e-10,degrees
A21/0,solarBandCrossing,mercury+sun,2051-03-08T23:34:56.493530Z,-133.07647705078125,-2.45086669921875,0.0006103515625,8.230927051045001e-10,degrees
A22/0,phaseBoundary,moon+sun,2052-01-02T03:05:34.616089Z,-21.79412841796875,5.19317626953125,0.0006103515625,-1.915901748361648e-08,degrees
A23/0,phaseBoundary,moon+sun,2053-01-04T17:46:05.725708Z,-26.20452880859375,4.38873291015625,0.0006103515625,-2.3597635845362674e-08,degrees
A24/0,phaseBoundary,moon+sun,2054-01-23T20:08:02.327271Z,-25.30670166015625,4.84283447265625,0.0006103515625,2.7704572858056054e-08,degrees
